IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,0,1,0,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00995196
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,1,5,1-4,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00043471
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,5,10,5-9,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00042198
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,10,15,10-14,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00038149
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,15,20,15-19,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00103169
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,20,25,20-24,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00131386
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,25,30,25-29,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00124411
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,30,35,30-34,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00135656
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,35,40,35-39,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00158952
79,"Age specific mortality rate m(x,n) - abridged",Age-specific mortality rates by age groups and by sex,World Population Prospects,2024,United Nations Population Division (recovered from Both sexes + Female),364,Iran (Islamic Republic of),IR,IRN,75,2024,4,Median,1,Male,42,40,45,40-44,0,Not applicable,1,Model-based Estimates,2,Interpolation (recovered),0.00205244
